Pond Name,L to W ratio,Pond Chain,Pipe,Rectangular Weir,Vnotch Weir,Trap Weir,Other,Number of Outlets,Outlet Height,Outlet Width,Outlet Size ft2 ,Mowed,Year Built,Pond Age
Hospital,0.731292517,0,1,0,0,0,0,4,3,3,35.34291735,1,1995,29
Lot60,4.810810811,0,1,0,0,0,0,2,2,2,4.71238898,0,2014,10
Garner,2.206896552,0,0,0,1,0,0,1,3.282666667,1.157666667,1.900116889,0,1992,32
DobA7,1.758893281,1,0,0,0,1,0,1,,,30,1,1969,55
Owen,1.541666667,1,0,0,0,0,1,1,3,4,12,0,2007,17
HPChurch,1.684931507,1,0,1,0,0,0,1,1,20,20,0,2000,24
DobA8,1.423529412,1,0,1,0,0,0,1,10,7.5,61.125,1,1998,26
Midtown,3.566433566,1,0,1,0,0,0,1,2,10,20,1,2002,22
Elver,2.213414634,1,0,1,0,0,0,1,3,14,42,1,1968,56
TwoFountains,0.778145695,0,1,0,0,0,0,1,2,2,12.56637061,1,1974,50
Greentree,1.09,1,0,0,0,0,1,1,8,12,96,0,1972,52
MarionDunn,1.221374046,0,1,0,0,0,0,2,2.833333333,4.416666667,19.6567707,1,1983,41
Manitou,0.75,1,0,0,1,0,0,1,3,10.39230485,15.58845727,1,2009,15
MadCity,0.639269406,0,1,0,0,0,0,2,2.416666667,3.75,14.23534171,0,2009,15
Baxter,0.6,0,0,1,0,0,0,1,3,2.25,6.75,1,1997,27
DobA22,6.913043478,0,1,0,0,0,0,6,2,3.166666667,25.33333333,1,2001,23
DobA5,2.143835616,0,0,0,1,0,0,1,6,3.216,9.648,1,1995,29
DobA4,5.833333333,0,1,0,0,0,0,4,2.5,2.5,14.72621556,1,2006,18
DoorCreek,4.087837838,1,1,0,0,0,0,1,4,4,12.56637061,1,2005,19
CommAve,1.712418301,0,1,0,0,0,0,1,5,5.416666667,21.27120026,0,1991,33
