site,date,point,water_dep_cm
ELV,6/26/23,L1,10
ELV,6/26/23,L2,237
ELV,6/26/23,L3,164
ELV,6/26/23,L4,155
ELV,6/26/23,L5,12
ELV,6/27/23,S1,24
ELV,6/27/23,S2,150
ELV,6/27/23,S3,135
ELV,6/27/23,S4,14
AKVV,6/21/23,L1,14
AKVV,6/21/23,L2,135
AKVV,6/21/23,L3,170
AKVV,6/21/23,L4,159
AKVV,6/21/23,L5,72
AKVV,6/21/23,S1,49
AKVV,6/21/23,S2,155
AKVV,6/21/23,S3,145
AKVV,6/21/23,S4,59
DOBA7,7/10/23,L1,17
DOBA7,7/10/23,L2,150
DOBA7,7/10/23,L3,66
DOBA7,7/10/23,L4,171
DOBA7,7/10/23,L5,16
DOBA7,7/10/23,S1,22
DOBA7,7/10/23,S2,54
DOBA7,7/10/23,S3,20
DOBA7,7/10/23,S4,54
L60-UW,6/15/23,L1,79
L60-UW,6/15/23,L2,120
L60-UW,6/15/23,L3,100
L60-UW,6/15/23,L4,94
L60-UW,6/15/23,L5,74
L60-UW,6/15/23,S1,70
L60-UW,6/15/23,S2,94
L60-UW,6/15/23,S3,91
L60-UW,6/15/23,S4,63
MC-ARB,6/30/23,L1,29
MC-ARB,7/1/23,L2,129
MC-ARB,7/2/23,L3,229
MC-ARB,7/3/23,L4,230
MC-ARB,7/4/23,L5,19
MC-ARB,7/5/23,S1,39
MC-ARB,7/6/23,S2,229
MC-ARB,7/7/23,S3,230
MC-ARB,7/8/23,S4,20
OPP-W,7/10/23,L1,28
OPP-W,7/10/23,L2,64
OPP-W,7/10/23,L3,107
OPP-W,7/10/23,L4,251
OPP-W,7/10/23,L5,25
OPP-W,7/10/23,S1,21
OPP-W,7/10/23,S2,76
OPP-W,7/10/23,S3,116
OPP-W,7/10/23,S4,24
HPC,7/11/23,L1,32
HPC,7/11/23,L2,65
HPC,7/11/23,L3,93
HPC,7/11/23,L4,104
HPC,7/11/23,L5,29
HPC,7/11/23,S1,16
HPC,7/11/23,S2,95
HPC,7/11/23,S3,14
HPC,7/11/23,S4,88
DOBA8,6/20/23,L1,15
DOBA8,6/20/23,L2,150
DOBA8,6/20/23,L3,184
DOBA8,6/20/23,L4,191
DOBA8,6/20/23,L5,12
DOBA8,6/20/23,S1,18
DOBA8,6/20/23,S2,185
DOBA8,6/20/23,S3,180
DOBA8,6/20/23,S4,20
MDT,6/19/23,L1,24
MDT,6/19/23,L2,110
MDT,6/19/23,L3,127
MDT,6/19/23,L4,125
MDT,6/19/23,L5,43
MDT,6/19/23,S1,30
MDT,6/19/23,S2,129
MDT,6/19/23,S3,118
MDT,6/19/23,S4,20
BAX,7/13/23,L1,20
BAX,7/13/23,L2,45
BAX,7/13/23,L3,40
BAX,7/13/23,L4,48
BAX,7/13/23,L5,24
BAX,7/13/23,S1,24
BAX,7/13/23,S2,46
BAX,7/13/23,S3,41
BAX,7/13/23,S4,26
HP-UW,7/19/23,L1,22
HP-UW,7/19/23,L2,235
HP-UW,7/19/23,L3,226
HP-UW,7/19/23,L4,110
HP-UW,7/19/23,L5,26
HP-UW,7/19/23,S1,27
HP-UW,7/19/23,S2,105
HP-UW,7/19/23,S3,145
HP-UW,7/19/23,S4,33
UM-ARB,7/17/23,L1,34
UM-ARB,7/17/23,L2,88
UM-ARB,7/17/23,L3,120
UM-ARB,7/17/23,L4,94
UM-ARB,7/17/23,L5,35
UM-ARB,7/17/23,S1,34
UM-ARB,7/17/23,S2,93
UM-ARB,7/17/23,S3,94
UM-ARB,7/17/23,S4,12
WS-ARB,7/18/23,L1,29
WS-ARB,7/19/23,L2,154
WS-ARB,7/20/23,L3,205
WS-ARB,7/21/23,L4,167
WS-ARB,7/22/23,L5,16
WS-ARB,7/23/23,S1,20
WS-ARB,7/24/23,S2,210
WS-ARB,7/25/23,S3,159
WS-ARB,7/26/23,S4,19
CAP,7/20/23,L1,15
CAP,7/20/23,L2,172
CAP,7/20/23,L3,91
CAP,7/20/23,L4,141
CAP,7/20/23,L5,26
CAP,7/20/23,S1,19
CAP,7/20/23,S2,86
CAP,7/20/23,S3,85
CAP,7/20/23,S4,22
DOBA5,7/24/23,L1,29
DOBA5,7/24/23,L2,190
DOBA5,7/24/23,L3,225
DOBA5,7/24/23,L4,245
DOBA5,7/24/23,L5,27
DOBA5,7/24/23,S1,30
