Pond Name,Total Area,% Commercial,% Residential,% Recreation,% Open Water,"% Transportation, Communications, Utilities",% Open Land,% Institutional/Governmental,% Industrial,% Agriculture,% Woodlands,% Other (Vacant/Construction),,% Commercial,% Residential,% Greenspace
Hospital,5703327.602,0.055322018,0,0.148929852,0.017674761,0.26869514,0.023841837,0.395193167,0.090343226,0,0,0,,0.809553551,0,0.190446449
Lot60,5703794.704,0,0,0.264373877,0.333011235,0.252811896,0.017817519,0.115464333,0.01652114,0,0,0,,0.384797369,0,0.615202631
Garner,5700553.195,0.025353925,0.368767555,0.358615859,0.013501578,0.205097481,0.028663602,0,0,0,0,0,,0.230451406,0.368767555,0.400781039
DobA7,5699578.983,0.432180661,0,0.045681518,0.095645384,0.150446608,0.264924691,0.000213714,0,0,0,0.010907425,,0.593748408,0,0.406251592
Owen,5701510.202,0,0.38258963,0.464525552,0.017297344,0.128710908,0.006876567,0,0,0,0,0,,0.128710908,0.38258963,0.488699463
HPChurch,5703357.43,0.039494401,0.450103817,0.070846138,0.065595984,0.118903845,0.130382907,0.124672909,0,0,0,0,,0.283071155,0.450103817,0.266825028
DobA8,5695893.929,0,0.331509167,0.05200541,0.022707583,0.133889156,0.176560956,0,0,0.283327728,0,0,,0.133889156,0.331509167,0.534601677
Midtown,5699602.813,0,0.220394233,0.114756121,0.026716477,0.101167986,0.136102024,0.001539671,0,0.363403745,0.035919744,0,,0.102707657,0.220394233,0.676898111
Elver,5695854.974,0.010073666,0.056402711,0.712215993,0.039244468,0.079073106,0.074102909,0.011753504,0,0,0.017133643,0,,0.100900276,0.056402711,0.842697013
TwoFountains,5697052.116,0.019510113,0.704364322,0.06744486,0.041898281,0.089973437,0.056844514,0.019964473,0,0,0,0,,0.129448023,0.704364322,0.166187655
Greentree,5696560.988,0,0.484858926,0.291837536,0.052144181,0.094238516,0.076920841,0,0,0,0,0,,0.094238516,0.484858926,0.420902558
MarionDunn,5698422.356,0.016036115,0.229996444,0.565656235,0.034966985,0.150785909,0.001028858,0.001529452,0,0,0,0,,0.168351477,0.229996444,0.601652079
Manitou,5697634.132,0.002477444,0.238169824,0.573553291,0.061028095,0.124771346,0,0,0,0,0,0,,0.12724879,0.238169824,0.634581386
MadCity,5696008.441,0.07918497,0,0.802691034,0.026629366,0.087910053,0,0,0,0,0,0.003584577,,0.1706796,0,0.8293204
Baxter,5694274.719,0,0.244428496,0.612480574,0.015994599,0.089055788,0.033896149,0,0,0,0.004144394,0,,0.089055788,0.244428496,0.666515716
DobA22,5693758.476,0,0.55376989,0.074133808,0.039281033,0.237126688,0.068210315,0,0,0,0,0.027478265,,0.264604953,0.55376989,0.181625156
DobA5,5702680.039,0.005166658,0.358259619,0.00214718,0.014107081,0.33802562,0.033177783,0.023213022,0,0.166793404,0.059109632,0,,0.3664053,0.358259619,0.275335081
DobA4,5705949.961,0,0.30320944,0,0.017343361,0.187553868,0.157538445,0.255368763,0,0.005894005,0,0.073092118,,0.516014749,0.30320944,0.180775811
DoorCreek,5706448.275,0,0.021840472,0.810463286,0.085230372,0,0.059204587,0,0,0,0.023261283,0,,0,0.021840472,0.978159528
CommAve,5708610.635,0.050769235,0.443067027,0.002348101,0.012928151,0.408336495,0.033950795,0.048600196,0,0,0,0,,0.507705926,0.443067027,0.049227047
