Watershed_,Calc_Area,Canopy_Area,Canopy Percent
Hospital Pond,290247.2986,25609.18751,8.823230269
Lot 60 Pond,69499.42533,9466.893574,13.62154223
Garner Park,232952.4026,85573.80347,36.73445842
Dobson A7,2319122.589,239750.3266,10.33797557
Owen Park,463628.0191,309088.8551,66.66742354
HP Church,58228826.73,26268807.29,45.11306301
Dobson A8,12329890.28,4224514.766,0.342623873
Midtown Pond,320152.8657,37796.66144,11.805817
Elver Park,12664505.49,4403085.922,0.347671366
Two Fountains,1203934.684,522133.1163,0.433688906
Greentree,44652977.51,8275876.85,0.185337626
Marion-Dunn,1001711.911,587304.4162,58.63007216
Manitou Pond,1925598.366,1061694.688,55.13583243
Mad City,586347.7901,170321.3038,29.04782906
Baxter Park,200741.3481,98149.61257,48.8935705
Dobson A22,346923.1393,130155.313,37.51704578
Dobson A5,439674.1444,132584.0061,30.15506093
Dobson A4,47478.41374,23780.25252,50.08645118
Door Creek,3727521.348,619389.601,16.6166614
Commercial Ave,598094.1984,145105.3955,24.26129461
