FID_main__,DN,area,perimeter,FID_Pond_W,Shape_Leng,Shape_Area,Watershed_,Percent_Pe,Percent_Im,Calc_Area,
170865,255,4.319824219,10.8,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,4.319492014,98149.61257
170866,255,0.719970703,3.600000001,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,0.719915726,
170881,255,73.08007813,42,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,73.07140768,
171063,255,23.0402832,21.6,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,23.03728347,
171113,255,57.24023438,40.8,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,57.23334038,
171147,255,203.4001465,103.2,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,203.3763155,
171263,255,32.04003906,26.4,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,32.03627088,
171633,255,21.23999023,22.8,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,0.080044215,
171791,255,70.19995117,46.8,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,70.19187656,
171824,255,26.28027344,25.2,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,11.54055686,
171975,255,37.44018555,32.4,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,37.43557681,
172016,255,196.5600586,96,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,76.42374278,
172180,255,9.360107422,14.4,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,9.358902063,
172422,255,11.88012695,14.4,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,11.8786184,
172492,255,0.360107422,2.399999999,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,0.359958229,
172593,255,22.31933594,24,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,22.31735311,
172713,255,14.40014648,22.8,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,14.39830903,
172786,255,82.79931641,42,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,82.7901356,
172849,255,34.55957031,27.6,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,34.55599006,
172857,255,20.87988281,20.4,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,20.8775148,
172985,255,772.5585938,313.2,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,772.4705071,
173028,255,16.20019531,18,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,16.19812397,
173033,255,274.3188477,110.4,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,268.9692357,
173043,255,21.96020508,26.4,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,21.95738344,
173055,255,14.40014648,19.2,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,14.39828574,
173056,255,39.95996094,34.8,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,39.95527985,
173063,255,5311.442871,993.6,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,5310.814332,
173129,255,64.44042969,42,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,64.43241892,
173175,255,598.6811523,210,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,598.6105271,
173180,255,124.9191895,60,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,124.9051482,
173284,255,248.4001465,92.4,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,248.371277,
173288,255,58.31933594,46.8,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,23.6981426,
173292,255,45.3605957,31.2,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,45.35459859,
173301,255,23.04003906,27.6,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,23.03729202,
173456,255,34.56054688,26.4,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,34.5558847,
173457,255,42.11914063,32.4,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,42.11510776,
173460,255,12.60009766,15.6,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,12.59851846,
173482,255,214.5605469,103.2,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,214.5344825,
173569,255,413.2790527,159.6,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,413.232333,
173613,255,125.9992676,66,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,125.9849867,
173671,255,51.11914063,37.2,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,51.1139586,
173672,255,58.31958008,37.2,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,58.31311374,
173893,255,137.880127,73.2,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,137.8636368,
173908,255,61.92016602,37.2,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,61.91269486,
173922,255,14.39990234,18,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,14.39828708,
173925,255,64.43896484,42,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,64.4323619,
173970,255,70.20068359,42,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,70.19186763,
174019,255,38.15991211,28.8,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,38.15549839,
174145,255,839.1584473,367.2,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,839.0624341,
174153,255,18.72045898,20.4,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,18.71777728,
174210,255,113.3999023,56.4,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,110.0402424,
174244,255,41.0402832,31.2,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,41.03515827,
174284,255,41.3996582,32.4,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,41.39517715,
174305,255,34.19995117,27.6,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,34.19596094,
174393,255,294.1201172,117.6,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,294.0856719,
174405,255,52.91967773,34.8,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,52.91383232,
174450,255,38.51928711,30,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,38.51544691,
174471,255,38.51977539,33.6,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,38.51551737,
174556,255,56.16015625,36,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,56.15345567,
174557,255,674.998291,216,2,2826.445432,375875.1497,Baxter Park,66.06,33.94,674.9216607,
