FID,Shape *,FID_newpon,First_Trea,Area,FID_Total_,OBJECTID,fea_type,mslink,No_bill,Proposed,Notes,FEA_AREA,ShapeSTAre,ShapeSTLen,BUILDINGFO,SOURCE,FootprintT,BuildingUs,BuildingCl,Name,Shape_STAr,Shape_STLe,Shape_Leng,Shape_Area,ImpArea,,Tot Imperv
0,Polygon ZM,0,PD 2348-002,58228826.73,54,54,P,3273, , , ,258341.3508,258341.3505,12079.01391,0, , , , , ,0,0,0.041074,0.000003,483944.8962,,18757731.04
1,Polygon ZM,0,PD 2348-002,58228826.73,127,127,P,4485, , , ,154745.6259,154745.6255,8024.191763,0, , , , , ,0,0,0.026908,0.000002,288785.9687,,
2,Polygon ZM,0,PD 2348-002,58228826.73,168,168,P,4313, , , ,55044.2264,55044.22656,5634.362931,0, , , , , ,0,0,0.018606,0.000001,65552.34569,,
3,Polygon ZM,0,PD 2348-002,58228826.73,173,173,P,6115, , , ,157099.5992,157099.5992,4805.21604,0, , , , , ,0,0,0.015771,0.000002,289986.7769,,
4,Polygon ZM,0,PD 2348-002,58228826.73,227,227,P,37881, , , ,184037.4018,184037.4022,5914.386664,0, , , , , ,0,0,0.019209,0.000002,345010.5325,,
5,Polygon ZM,0,PD 2348-002,58228826.73,282,282,V,37868, , , ,101640.4249,101640.4245,6863.601889,0, , , , , ,0,0,0.022989,0.000001,188166.4541,,
6,Polygon ZM,0,PD 2348-002,58228826.73,289,289,P,64512, , , ,109840.4102,109840.4095,10700.53662,0, , , , , ,0,0,0.035181,0.000001,200737.4092,,
7,Polygon ZM,0,PD 2348-002,58228826.73,326,326,P,4431, , , ,90608.30293,90608.30295,5770.327684,0, , , , , ,0,0,0.018651,0.000001,167017.3553,,
8,Polygon ZM,0,PD 2348-002,58228826.73,357,357,P,119958, , , ,70614.24375,70614.24353,6212.703277,0, , , , , ,0,0,0.020357,0.000001,131712.4667,,
9,Polygon ZM,0,PD 2348-002,58228826.73,393,393,V,4486, , , ,82969.17349,82969.17368,6678.072282,0, , , , , ,0,0,0.022366,0.000001,147860.7492,,
10,Polygon ZM,0,PD 2348-002,58228826.73,436,436,P,37872, , , ,129045.4025,129045.4026,10006.64781,0, , , , , ,0,0,0.032592,0.000001,237539.0718,,
11,Polygon ZM,0,PD 2348-002,58228826.73,586,586,P,38711, , , ,104240.741,104240.7412,8782.31488,0, , , , , ,0,0,0.029039,0.000001,193939.1859,,
12,Polygon ZM,0,PD 2348-002,58228826.73,648,648,P,4467, , , ,64866.12584,64866.12598,5445.90428,0, , , , , ,0,0,0.017979,0.000001,38523.44676,,
13,Polygon ZM,0,PD 2348-002,58228826.73,686,686,P,4342, , , ,91591.82137,91591.82144,4306.860511,0, , , , , ,0,0,0.014631,0.000001,30427.50302,,
14,Polygon ZM,0,PD 2348-002,58228826.73,694,694,P,38625, , , ,93692.59624,93692.5965,7984.114969,0, , , , , ,0,0,0.025984,0.000001,174199.4486,,
15,Polygon ZM,0,PD 2348-002,58228826.73,700,700,P,4287, , , ,93094.14761,93094.14798,5683.025001,0, , , , , ,0,0,0.01838,0.000001,112023.0868,,
16,Polygon ZM,0,PD 2348-002,58228826.73,708,708,V,4480, , , ,92409.0349,92409.03482,1141.268513,0, , , , , ,0,0,0.003802,0.000001,68225.33848,,
17,Polygon ZM,0,PD 2348-002,58228826.73,735,735,P,4425, , , ,88312.41296,88312.41324,3814.672318,0, , , , , ,0,0,0.012636,0.000001,164165.8232,,
18,Polygon ZM,0,PD 2348-002,58228826.73,736,736,V,4478, , , ,89812.43266,89812.43268,1113.679686,0, , , , , ,0,0,0.003703,0.000001,168316.8652,,
19,Polygon ZM,0,PD 2348-002,58228826.73,925,925,P,4378, , , ,65664.0237,65664.02374,3481.331427,0, , , , , ,0,0,0.01155,0.000001,782.755223,,
20,Polygon ZM,0,PD 2348-002,58228826.73,950,950,B,6114, , , ,72890.11847,72890.1185,1550.545313,0, , , , , ,0,0,0.005071,0.000001,2563.855251,,
21,Polygon ZM,0,PD 2348-002,58228826.73,1054,1054,P,3301, , , ,45508.16672,45508.16663,4295.469386,0, , , , , ,0,0,0.014573,0,7606.682163,,
22,Polygon ZM,0,PD 2348-002,58228826.73,1107,1107,V,38530, , , ,39024.99905,39024.99881,4597.880284,0, , , , , ,0,0,0.015082,0,66769.52444,,
23,Polygon ZM,0,PD 2348-002,58228826.73,1118,1118,P,6002, , , ,64513.52854,64513.52832,3139.735901,0, , , , , ,0,0,0.010468,0.000001,51222.09052,,
24,Polygon ZM,0,PD 2348-002,58228826.73,1145,1145,P,126220, , , ,63332.27133,63332.2713,4387.840106,0, , , , , ,0,0,0.01441,0.000001,117190.1745,,
25,Polygon ZM,0,PD 2348-002,58228826.73,1150,1150,P,5977, , , ,45473.29932,45473.29923,1830.371181,0, , , , , ,0,0,0.00624,0,83854.99718,,
26,Polygon ZM,0,PD 2348-002,58228826.73,1186,1186,B,3269, , , ,62040.59037,62040.59049,1251.370064,0, , , , , ,0,0,0.004062,0.000001,1840.019471,,
27,Polygon ZM,0,PD 2348-002,58228826.73,1230,1230,P,6042, , , ,39368.90159,39368.90152,1918.609083,0, , , , , ,0,0,0.006227,0,72672.67376,,
28,Polygon ZM,0,PD 2348-002,58228826.73,1332,1332,B,4430, , , ,55508.60346,55508.60342,1301.829899,0, , , , , ,0,0,0.004172,0.000001,1681.461012,,
29,Polygon ZM,0,PD 2348-002,58228826.73,1357,1357,B,4426, , , ,54890.74192,54890.742,1521.382795,0, , , , , ,0,0,0.005187,0.000001,8060.359375,,
