Wildlife/Usage Assessment,,,,,,,,,Time and Date,,Vegetation Assessment,
Pond Name,# People Recreating,# Pieces of Trash,# Pieces of Donwstream Trash,Aquaitic Plants?,# of Each Species,Species Observed,Odor (-5 to 5),Additional Notes,Time,Date,Vegetation,
Lot 60,0,4,,Y,Unknown,Frogs,0,None,8:45 AM,6/6/23,"(frequent) cattail, milkweed, (infrequent) spiderwort, butterfly weed",
Lot 60,2,20,,Y,Unknown,Frogs,-2,None,7:39 AM,6/26/23,,
Lot 60,0 (5 on path),0,,Y (Duckweed),None Observed,None Observed,0,None,7:20 AM,7/29/23,,
Lot 60,4,0,,Y (Duckweed),None Observed,None Observed,0,None,6:55 AM,8/4/23,,
Lot 60,0,0,,Y (Duckweed),Unknown,Frogs,,Sprayed for herbicided 8/8/23 (Garlon 3A),8:53 AM,8/9/23,,
Lot 60,0,0,,Y ,None Observed,None Observed,-1,None,7:28 AM,8/15/23,,
Lot 60,0 (construction),0,,Y,Unknown,Mosquitos,0,None,7:04 AM,8/22/23,,
Lot 60,0,0,,Y,None Observed,None Observed,0,None,7:05 AM,9/20/23,,
Lot 60,0,0,,Y,None Observed,None Observed,1,None,7:26 AM,9/27/23,,
Lot 60,0,0,,Y,None Observed,None Observed,-2,None,7:20 AM,10/5/23,,
Lot 60,0,0,,Y,Unknown,Frogs,-1,None,4:03 PM,5/15/24,,
Lot 60,0,0,0,"Y (Cattail, Duckweed)",Unknown,Frogs,2,None,9:01 AM,7/16/24,,
Lot 60,4 (on path),0,5,"Y (Cattail, Duckweed)",None Observed,None Observed,-3,None,8:35 AM,7/24/24,,
Lot 60,0,1,5,"Y (Duckweed, Cattail, submerged)",None Observed,None Observed,-1,None,8:27 AM,7/30/24,,
Hospital Pond,0,10,,Y (Duckweed),Unknown,Insects,2,"Area appears managed, significant underwater veg. at inlet",9:17 AM,6/6/23,"(frequent) spiderwort, willow, (infrequent) cattail",
Hospital Pond,0,5,,Y,None Observed,None Observed,0,None,8:22 AM,6/26/23,,
